Protocol,Port
tcpmux ,1
rje ,5
echo ,7
discard ,9
systat ,11
daytime ,13
qotd ,17
msp ,18
chargen ,19
ftp ,20
ftp ,21
ssh ,22
telnet ,23
smtp ,25
time ,37
rlp ,39
nameserver ,42
nicname ,43
tacacs ,49
re-mail-ck ,50
dns,53
whois++ ,63
bootps ,67
bootpc ,68
tftp ,69
gopher ,70
netrjs-1 ,71
netrjs-2 ,72
netrjs-3 ,73
netrjs-4 ,73
finger ,79
http,80
kerberos ,88
supdup ,95
hostname ,101
iso-tsap ,102
csnet-ns ,105
rtelnet ,107
pop2 ,109
pop3 ,110
sunrpc ,111
auth ,113
sftp ,115
uucp-path ,117
nntp ,119
ntp ,123
netbios-ns ,137
netbios-dgm ,138
netbios-ssn ,139
imap ,143
snmp ,161
snmptrap ,162
cmip-man ,163
cmip-agent ,164
mailq ,174
xdmcp ,177
nextstep ,178
bgp ,179
prospero ,191
irc ,194
smux ,199
at-rtmp ,201
at-nbp ,202
at-echo ,204
at-zis ,206
qmtp ,209
z39.50 ,210
ipx ,213
imap3 ,220
link ,245
fatserv ,347
rsvp_tunnel ,363
rpc2portmap ,369
codaauth2 ,370
ulistproc ,372
ldap ,389
svrloc ,427
mobileip-agent ,434
mobilip-mn ,435
https ,443
snpp ,444
microsoft-ds ,445
kpasswd ,464
photuris ,468
saft ,487
gss-http ,488
pim-rp-disc ,496
isakmp ,500
iiop ,535
gdomap ,538
dhcpv6-client ,546
dhcpv6-server ,547
rtsp ,554
nntps ,563
whoami ,565
submission ,587
npmp-local ,610
npmp-gui ,611
hmmp-ind ,612
ipp ,631
ldaps ,636
acap ,674
ha-cluster ,694
kerberos-adm ,749
kerberos-iv ,750
webster ,765
phonebook ,767
rsync ,873
telnets ,992
imaps ,993
ircs ,994
pop3s ,995
exec ,512
biff,512
login ,513
who,513
cmd,514
shell,514
syslog ,514
spooler,515
printer,515
talk ,517
ntalk ,518
unixtime,519
utime,519
efs ,520
route,520
routed,520
router,520
ripng ,521
timeserver,525
timed,525
newdate,526
tempo,526
rpc ,530
courier,530
chat,531
Conference,531
netnews ,532
netwall ,533
uucpd,540
uucp ,540
klogin ,543
kshell ,544
afpovertcp ,548
rfs_server,556
rfs,556
Remotefs,556
socks ,1080
rmtcfg,1236
Bvcontrol,1236
h323hostcallsc ,1300
ms-sql-s ,1433
ms-sql-m ,1434
ica ,1494
wins ,1512
ingreslock ,1524
prospero-np ,1525
old-radius,1645
datametrics ,1645
 oldradacct ,1646
Sa-msg-port,1646
kermit ,1649
l2f,1701
l2tp,1701
h323gatedisc ,1718
h323gatestat ,1719
h323hostcall ,1720
tftp-mcast ,1758
mtftp ,1759
hello ,1789
radius ,1812
radius-acct ,1813
mtp ,1911
hsrp ,1985
licensedaemon ,1986
nfsd,2049
gdp-port ,1997
nfs,2049
zephyr-srv ,2102
zephyr-clt ,2103
zephyr-hm ,2104
cvspserver ,2401
venus ,2430
venus ,2430
venus-se ,2431
venus-se ,2431
codasrv ,2432
codasrv-se ,2433
codasrv-se ,2433
zebrasrv,2600
hpstgmgr,2600
zebra,2601
Discp-client,2601
ripd,2602
Discp-server,2602
ripngd,2603
servicemeter,2603
ospfd,2604
Nsc-ccs,2604
nsc-posa ,2605
ospf6d,2606
netmon,2606
corbaloc ,2809
icpv2 ,3130
mysql ,3306
trnsprntproxy ,3346
pxe ,4011
rwhois ,4321
krb524 ,4444
rfe ,5002
cfengine ,5308
CVSup,5999
Cvsup ,5999
X,6000
x11,6000
afs3-fileserver ,7000
afs3-callback ,7001
afs3-prserver ,7002
afs3-vlserver ,7003
afs3-kaserver ,7004
afs3-volser ,7005
afs3-errors ,7006
afs3-bos ,7007
afs3-update ,7008
afs3-rmtsys ,7009
sd ,9876
amanda ,10080
pgpkeyserver ,11371
h323callsigalt ,11720
bprd ,13720
bpdbm ,13721
bpjava-msvc ,13722
vnetd ,13724
bpcd ,13782
vopied ,13783
wnn4,22273
wnn6,22273
quake ,26000
wnn6-ds ,26208
traceroute ,33434
http,8080
http,8000
tls,443
ssl,443
https ,8080
https ,8000
