Port,Protocol
1,tcpmux 
5,rje 
7,echo 
9,discard 
11,systat 
13,daytime 
17,qotd 
18,msp 
19,chargen 
20,ftp 
21,ftp 
22,ssh 
23,telnet 
25,smtp 
37,time 
39,rlp 
42,nameserver 
43,nicname 
49,tacacs 
50,re-mail-ck 
53,dns
63,whois++ 
67,bootps 
68,bootpc 
69,tftp 
70,gopher 
71,netrjs-1 
72,netrjs-2 
73,netrjs-3 
73,netrjs-4 
79,finger 
80,http
88,kerberos 
95,supdup 
101,hostname 
102,iso-tsap 
105,csnet-ns 
107,rtelnet 
109,pop2 
110,pop3 
111,sunrpc 
113,auth 
115,sftp 
117,uucp-path 
119,nntp 
123,ntp 
137,netbios-ns 
138,netbios-dgm 
139,netbios-ssn 
143,imap 
161,snmp 
162,snmptrap 
163,cmip-man 
164,cmip-agent 
174,mailq 
177,xdmcp 
178,nextstep 
179,bgp 
191,prospero 
194,irc 
199,smux 
201,at-rtmp 
202,at-nbp 
204,at-echo 
206,at-zis 
209,qmtp 
210,z39.50 
213,ipx 
220,imap3 
245,link 
347,fatserv 
363,rsvp_tunnel 
369,rpc2portmap 
370,codaauth2 
372,ulistproc 
389,ldap 
427,svrloc 
434,mobileip-agent 
435,mobilip-mn 
443,https 
444,snpp 
445,microsoft-ds 
464,kpasswd 
468,photuris 
487,saft 
488,gss-http 
496,pim-rp-disc 
500,isakmp 
535,iiop 
538,gdomap 
546,dhcpv6-client 
547,dhcpv6-server 
554,rtsp 
563,nntps 
565,whoami 
587,submission 
610,npmp-local 
611,npmp-gui 
612,hmmp-ind 
631,ipp 
636,ldaps 
674,acap 
694,ha-cluster 
749,kerberos-adm 
750,kerberos-iv 
765,webster 
767,phonebook 
873,rsync 
992,telnets 
993,imaps 
994,ircs 
995,pop3s 
512,exec 
512,biff
513,login 
513,who
514,cmd
514,shell
514,syslog 
515,spooler
515,printer
517,talk 
518,ntalk 
519,unixtime
519,utime
520,efs 
520,route
520,routed
520,router
521,ripng 
525,timeserver
525,timed
526,newdate
526,tempo
530,rpc 
530,courier
531,chat
531,Conference
532,netnews 
533,netwall 
540,uucpd
540,uucp 
543,klogin 
544,kshell 
548,afpovertcp 
556,rfs_server
556,rfs
556,Remotefs
1080,socks 
1236,rmtcfg
1236,Bvcontrol
1300,h323hostcallsc 
1433,ms-sql-s 
1434,ms-sql-m 
1494,ica 
1512,wins 
1524,ingreslock 
1525,prospero-np 
1645,old-radius
1645,datametrics 
1646, oldradacct 
1646,Sa-msg-port
1649,kermit 
1701,l2f
1701,l2tp
1718,h323gatedisc 
1719,h323gatestat 
1720,h323hostcall 
1758,tftp-mcast 
1759,mtftp 
1789,hello 
1812,radius 
1813,radius-acct 
1911,mtp 
1985,hsrp 
1986,licensedaemon 
2049,nfsd
1997,gdp-port 
2049,nfs
2102,zephyr-srv 
2103,zephyr-clt 
2104,zephyr-hm 
2401,cvspserver 
2430,venus 
2430,venus 
2431,venus-se 
2431,venus-se 
2432,codasrv 
2433,codasrv-se 
2433,codasrv-se 
2600,zebrasrv
2600,hpstgmgr
2601,zebra
2601,Discp-client
2602,ripd
2602,Discp-server
2603,ripngd
2603,servicemeter
2604,ospfd
2604,Nsc-ccs
2605,nsc-posa 
2606,ospf6d
2606,netmon
2809,corbaloc 
3130,icpv2 
3306,mysql 
3346,trnsprntproxy 
4011,pxe 
4321,rwhois 
4444,krb524 
5002,rfe 
5308,cfengine 
5999,CVSup
5999,Cvsup 
6000,X
6000,x11
7000,afs3-fileserver 
7001,afs3-callback 
7002,afs3-prserver 
7003,afs3-vlserver 
7004,afs3-kaserver 
7005,afs3-volser 
7006,afs3-errors 
7007,afs3-bos 
7008,afs3-update 
7009,afs3-rmtsys 
9876,sd 
10080,amanda 
11371,pgpkeyserver 
11720,h323callsigalt 
13720,bprd 
13721,bpdbm 
13722,bpjava-msvc 
13724,vnetd 
13782,bpcd 
13783,vopied 
22273,wnn4
22273,wnn6
26000,quake 
26208,wnn6-ds 
33434,traceroute 
8080,http
8000,http
443,tls
443,ssl
8080,https 
8000,https 
